year,month,day,dayofweek,true_prop,mostly_true_prop,half_true_prop,mostly_false_prop,false_prop,pants_on_fire_prop,total_counts,statement_len_words,statement_len_chars,speaker_description_len_words,speaker_description_len_chars,justification_len_words,justification_len_chars
2017.0,10.0,2.0,0.0,0.05,0.2,0.25,0.15,0.25,0.1,20.0,11.0,77.0,64.0,371.0,70.0,387.0
2017.0,5.0,19.0,4.0,0.0,0.14285715,0.5,0.21428572,0.14285715,0.0,14.0,13.0,74.0,13.0,72.0,74.0,416.0
2015.0,10.0,28.0,2.0,0.20192307,0.1923077,0.2596154,0.10576923,0.16346154,0.07692308,104.0,11.0,57.0,63.0,355.0,109.0,647.0
2021.0,12.0,8.0,2.0,0.33333334,0.6666667,0.0,0.0,0.0,0.0,3.0,20.0,117.0,11.0,76.0,132.0,834.0
2012.0,8.0,12.0,6.0,0.14903846,0.15865384,0.27884614,0.16826923,0.15384616,0.09134615,208.0,12.0,70.0,132.0,748.0,83.0,461.0
2021.0,3.0,28.0,6.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,16.0,94.0,8.0,51.0,78.0,477.0
2012.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.0,165.0,9.0,64.0,75.0,438.0
2019.0,1.0,19.0,5.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,12.0,71.0,66.0,367.0,109.0,683.0
2020.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,35.0,26.0,154.0,101.0,627.0
2018.0,10.0,24.0,2.0,0.018518519,0.055555556,0.2037037,0.33333334,0.25925925,0.12962963,54.0,33.0,202.0,12.0,85.0,84.0,514.0
2017.0,7.0,31.0,0.0,0.0,0.75,0.125,0.0,0.125,0.0,8.0,9.0,63.0,20.0,132.0,200.0,1272.0
2012.0,6.0,4.0,0.0,0.42857143,0.14285715,0.0,0.14285715,0.2857143,0.0,7.0,33.0,198.0,10.0,73.0,76.0,460.0
2015.0,12.0,27.0,6.0,0.2,0.2,0.2,0.4,0.0,0.0,5.0,12.0,71.0,28.0,179.0,82.0,522.0
2023.0,7.0,11.0,1.0,0.004862237,0.004862237,0.024311183,0.08265802,0.65640193,0.22690438,617.0,17.0,85.0,13.0,85.0,90.0,487.0
2011.0,2.0,22.0,1.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,25.0,153.0,92.0,520.0,113.0,642.0
